Time,Bin ID,Location,Latitude,Longitude,Weight (kg),Fill %,Image Status,Final Status
2026-02-17 17:57:47,BIN_01,Zone A,13.0827,80.2707,9.5,47.5,NOT PROVIDED,NOT FULL
2026-02-18 09:39:16,BIN_01,Zone A,13.0827,80.2707,11.5,57.5,NOT PROVIDED,NOT FULL
2026-02-18 15:19:55,BIN_01,Zone A,13.0827,80.2707,9.5,47.5,NOT PROVIDED,NOT FULL
2026-02-18 15:20:24,BIN_01,Zone A,13.0827,80.2707,7.5,37.5,NOT PROVIDED,NOT FULL
2026-02-18 15:32:36,BIN_01,Zone A,13.0827,80.2707,10.5,52.5,NOT PROVIDED,NOT FULL
2026-02-18 15:36:18,BIN_NY_01,Central Park,40.785,-73.9682,15.18,75.9,NOT PROVIDED,NOT FULL
2026-02-18 15:37:14,BIN_NY_01,Central Park,40.785,-73.9682,20.39,100.0,NOT PROVIDED,FULL
2026-02-18 15:41:59,BIN_NY_01,Central Park,40.785,-73.9682,17.9,89.5,NOT PROVIDED,FULL
2026-02-18 15:42:24,BIN_NY_01,Central Park,40.785,-73.9682,24.07,100.0,NOT PROVIDED,FULL
2026-02-18 15:42:24,BIN_NY_01,Central Park,40.785,-73.9682,24.07,100.0,NOT PROVIDED,FULL
2026-02-18 15:43:11,BIN_NY_01,Central Park,40.785,-73.9682,20.87,100.0,NOT PROVIDED,FULL
2026-02-18 15:43:20,BIN_NY_01,Central Park,40.785,-73.9682,20.87,100.0,NOT PROVIDED,FULL
2026-02-18 15:43:21,BIN_NY_01,Central Park,40.785,-73.9682,20.87,100.0,NOT PROVIDED,FULL
2026-02-18 15:43:21,BIN_NY_01,Central Park,40.785,-73.9682,20.87,100.0,NOT PROVIDED,FULL
2026-02-18 15:43:21,BIN_NY_01,Central Park,40.785,-73.9682,20.87,100.0,NOT PROVIDED,FULL
2026-02-18 15:43:24,BIN_NY_01,Central Park,40.785,-73.9682,16.36,81.8,NOT PROVIDED,FULL
2026-02-18 15:50:56,BIN_NY_01,Central Park,40.785,-73.9682,15.41,77.0,NOT PROVIDED,NOT FULL
2026-02-18 15:51:02,BIN_NY_01,Central Park,40.785,-73.9682,24.54,100.0,NOT PROVIDED,FULL
2026-02-18 15:57:58,BIN_NY_01,Central Park,40.785,-73.9682,25.01,100.0,NOT PROVIDED,FULL
2026-02-18 16:03:46,BIN_NY_01,Central Park,40.785,-73.9682,18.14,90.7,NOT PROVIDED,FULL
2026-02-18 16:12:33,BIN_NY_01,Central Park,40.785,-73.9682,20.51,100.0,NOT PROVIDED,FULL
2026-02-18 16:28:26,BIN_NY_01,Central Park,40.785,-73.9682,16.12,80.6,NOT PROVIDED,FULL
2026-02-18 16:41:51,BIN_NY_01,Central Park,40.785,-73.9682,23.59,100.0,NOT PROVIDED,FULL
2026-02-18 17:50:10,BIN_NY_01,Central Park,40.785,-73.9682,22.29,100.0,NOT PROVIDED,FULL
2026-02-18 18:34:27.471946,BIN_NY_01,Central Park,40.785,-73.9682,17.43,87.1,NOT PROVIDED,FULL
2026-02-18 18:34:44.464712,BIN_NY_01,Central Park,40.785,-73.9682,5.0,25.0,NOT PROVIDED,NOT FULL
2026-02-18 18:35:15.241782,BIN_NY_01,Central Park,40.785,-73.9682,5.0,25.0,NOT PROVIDED,NOT FULL
2026-02-18 18:35:19.025264,BIN_NY_01,Central Park,40.785,-73.9682,20.39,100.0,NOT PROVIDED,FULL
2026-02-18 18:49:32.908546,BIN_NY_01,Central Park,40.785,-73.9682,19.32,96.6,NOT PROVIDED,FULL
2026-02-18 18:59:43.080569,BIN_NY_01,Central Park,40.785,-73.9682,20.33,100.0,NOT PROVIDED,FULL
2026-02-18 19:01:07.011141,BIN_NY_01,Central Park,40.785,-73.9682,16.71,83.5,NOT PROVIDED,FULL
2026-02-18 19:07:48.829646,BIN_NY_01,Central Park,40.785,-73.9682,23.41,100.0,NOT PROVIDED,FULL
2026-02-19 09:52:33.860770,BIN_NY_01,Central Park,40.785,-73.9682,22.2,100.0,NOT PROVIDED,FULL
2026-02-19 09:56:08.949616,BIN_NY_01,Central Park,40.785,-73.9682,17.13,85.6,NOT PROVIDED,FULL
2026-02-19 11:06:44.124624,BIN_NY_01,Central Park,40.785,-73.9682,5.0,25.0,NOT PROVIDED,NOT FULL
